Channel,Subsystem,Physical Unit,Group,Target
channel_1,subsystem_1,physical_unit_1,1,NO
channel_2,subsystem_1,physical_unit_1,1,NO
channel_3,subsystem_1,physical_unit_1,1,NO
channel_4,subsystem_1,physical_unit_2,2,NO
channel_5,subsystem_1,physical_unit_2,2,NO
channel_6,subsystem_1,physical_unit_2,2,NO
channel_7,subsystem_1,physical_unit_2,2,NO
channel_8,subsystem_1,physical_unit_2,2,NO
channel_9,subsystem_1,physical_unit_2,2,NO
channel_10,subsystem_1,physical_unit_2,2,NO
channel_11,subsystem_1,physical_unit_2,2,NO
channel_12,subsystem_6,physical_unit_3,3,YES
channel_13,subsystem_6,physical_unit_3,3,YES
channel_14,subsystem_6,physical_unit_3,4,YES
channel_15,subsystem_6,physical_unit_3,7,YES
channel_16,subsystem_6,physical_unit_3,6,YES
channel_17,subsystem_6,physical_unit_3,5,YES
channel_18,subsystem_6,physical_unit_3,5,YES
channel_19,subsystem_6,physical_unit_3,3,YES
channel_20,subsystem_6,physical_unit_3,3,YES
channel_21,subsystem_6,physical_unit_3,4,YES
channel_22,subsystem_6,physical_unit_3,7,YES
channel_23,subsystem_6,physical_unit_3,7,YES
channel_24,subsystem_6,physical_unit_3,6,YES
channel_25,subsystem_6,physical_unit_3,5,YES
channel_26,subsystem_6,physical_unit_3,5,YES
channel_27,subsystem_6,physical_unit_3,3,YES
channel_28,subsystem_6,physical_unit_3,3,YES
channel_29,subsystem_6,physical_unit_3,4,YES
channel_30,subsystem_6,physical_unit_3,4,YES
channel_31,subsystem_6,physical_unit_3,7,YES
channel_32,subsystem_6,physical_unit_3,6,YES
channel_33,subsystem_6,physical_unit_3,6,YES
channel_34,subsystem_6,physical_unit_3,5,YES
channel_35,subsystem_6,physical_unit_3,5,YES
channel_36,subsystem_6,physical_unit_3,3,YES
channel_37,subsystem_6,physical_unit_3,3,YES
channel_38,subsystem_6,physical_unit_3,4,YES
channel_39,subsystem_6,physical_unit_3,7,YES
channel_40,subsystem_6,physical_unit_3,6,YES
channel_41,subsystem_5,physical_unit_4,8,YES
channel_42,subsystem_5,physical_unit_4,8,YES
channel_43,subsystem_5,physical_unit_4,8,YES
channel_44,subsystem_5,physical_unit_4,8,YES
channel_45,subsystem_5,physical_unit_4,8,YES
channel_46,subsystem_5,physical_unit_4,8,YES
channel_47,subsystem_6,physical_unit_3,9,YES
channel_48,subsystem_6,physical_unit_3,9,YES
channel_49,subsystem_6,physical_unit_3,9,YES
channel_50,subsystem_6,physical_unit_3,10,YES
channel_51,subsystem_6,physical_unit_3,10,YES
channel_52,subsystem_6,physical_unit_3,10,YES
channel_53,subsystem_3,physical_unit_5,11,NO
channel_54,subsystem_3,physical_unit_5,12,NO
channel_55,subsystem_3,physical_unit_5,11,NO
channel_56,subsystem_3,physical_unit_5,12,NO
channel_57,subsystem_6,physical_unit_3,13,YES
channel_58,subsystem_6,physical_unit_3,13,YES
channel_59,subsystem_6,physical_unit_3,13,YES
channel_60,subsystem_6,physical_unit_3,13,YES
channel_61,subsystem_1,physical_unit_6,14,YES
channel_62,subsystem_1,physical_unit_6,14,YES
channel_63,subsystem_1,physical_unit_6,14,YES
channel_64,subsystem_6,physical_unit_3,15,YES
channel_65,subsystem_6,physical_unit_3,15,YES
channel_66,subsystem_6,physical_unit_3,16,YES
channel_67,subsystem_1,physical_unit_5,17,NO
channel_68,subsystem_1,physical_unit_5,17,NO
channel_69,subsystem_1,physical_unit_5,17,NO
channel_70,subsystem_3,physical_unit_4,18,YES
channel_71,subsystem_3,physical_unit_4,18,YES
channel_72,subsystem_3,physical_unit_4,18,YES
channel_73,subsystem_3,physical_unit_4,18,YES
channel_74,subsystem_3,physical_unit_4,18,YES
channel_75,subsystem_3,physical_unit_4,18,YES
channel_76,subsystem_3,physical_unit_4,18,YES
